	label	inflorescence	taille	forme 	couleur	motif	nombre_serie	longueur_filet	syndrome
Atuna_racemosa_NC_030546 	Atuna_racemosa_NC_030546 	1	0	0	0	0	NA	NA	1
Byrsonima_crassifolia_NC_037192	Byrsonima_crassifolia_NC_037192	1	0	0	3	0	NA	NA	0
Ceriops_tagal_NC_061404 	Ceriops_tagal_NC_061404 	1	0	0	0	0	NA	NA	0
Erythroxylum_novogranatense_NC_030601 	Erythroxylum_novogranatense_NC_030601 	0	0	0	0	0	NA	NA	NA
Garcinia_mangostana_NC_036341	Garcinia_mangostana_NC_036341	0	0	0	2	0	NA	NA	NA
Hydnocarpus_hainanensis_NC_042720	Hydnocarpus_hainanensis_NC_042720	1	0	0	0	0	NA	NA	NA
Hypericum_perforatum_NC_083133	Hypericum_perforatum_NC_083133	1	0	0	3	0	NA	NA	NA
Linum_usitatissimum_NC_036356 	Linum_usitatissimum_NC_036356 	0	0	0	1	0	NA	NA	0
Manihot_esculenta_NC_010433 	Manihot_esculenta_NC_010433 	1	0	0	2	0	NA	NA	0
Ochna_integerrima_NC_072724	Ochna_integerrima_NC_072724	1	0	0	3	0	NA	NA	NA
Passiflora_actinia_MF807934	Passiflora_actinia_MF807934	0	1	0	1	1	0	1	0
Passiflora_affinis_NC_043823	Passiflora_affinis_NC_043823	0	0	0	0	1	0	1	0
Passiflora_alata_NC_053304 	Passiflora_alata_NC_053304 	0	1	0	2	1	0	1	0
Passiflora_arbelaezii_NC_043819	Passiflora_arbelaezii_NC_043819	1	0	0	0	1	0	1	0
Passiflora_auriculata_NC_038119	Passiflora_auriculata_NC_038119	1	0	0	0	1	0	1	0
Passiflora_biflora_NC_038120	Passiflora_biflora_NC_038120	1	0	0	0	0	0	0	3
Passiflora_caerulea_NC_053697 	Passiflora_caerulea_NC_053697 	0	1	0	1	1	0	1	0
Passiflora_candollei_NC_053305	Passiflora_candollei_NC_053305	NA	0	0	1	1	0	0	0
Passiflora_capsularis_MT525883	Passiflora_capsularis_MT525883	0	0	0	0	0	0	0	3
Passiflora_cerradensis_MT525871	Passiflora_cerradensis_MT525871	0	0	0	3	0	0	0	1
Passiflora_cincinnata_NC_037690	Passiflora_cincinnata_NC_037690	0	1	0	1	1	0	1	0
Passiflora_cirrhiflora_NC_061294 	Passiflora_cirrhiflora_NC_061294 	1	1	0	3	1	0	1	0
Passiflora_contracta_NC_043818 	Passiflora_contracta_NC_043818 	1	0	0	0	0	0	0	3
Passiflora_costaricensis_NC_051918 	Passiflora_costaricensis_NC_051918 	1	0	0	0	1	0	1	0
Passiflora_cristalina_NC_053307	Passiflora_cristalina_NC_053307	0	0	1	2	0	0	0	2
Passiflora_deidamioides_MT525873	Passiflora_deidamioides_MT525873	0	0	0	0	0	0	1	3
Passiflora_edmundoi_NC_053309 	Passiflora_edmundoi_NC_053309 	0	1	1	2	0	0	0	2
Passiflora_edulis_NC_034285 	Passiflora_edulis_NC_034285 	0	0	0	1	1	0	1	0
Passiflora_elegans_MN062356	Passiflora_elegans_MN062356	0	0	0	1	1	0	1	0
Passiflora_filipes_MK694929	Passiflora_filipes_MK694929	0	0	0	0	0	0	1	3
Passiflora_foetida_NC_043825	Passiflora_foetida_NC_043825	0	0	0	0	1	0	0	0
Passiflora_haematostigma_MT525875	Passiflora_haematostigma_MT525875	1	0	0	0	1	0	1	3
Passiflora_incarnata_MN062357	Passiflora_incarnata_MN062357	NA	0	0	1	1	1	1	0
Passiflora_jatunsachensis_MK694920	Passiflora_jatunsachensis_MK694920	NA	0	0	0	1	?	0	0
Passiflora_laurifolia_MF807939 	Passiflora_laurifolia_MF807939 	0	0	0	1	1	0	1	0
