	label	inflorescence	taille	forme 	couleur	motif	nombre_serie	longueur_filet	syndrome
Atuna_racemosa_AF089758	Atuna_racemosa_AF089758	1	0	0	0	0	NA	NA	1
Byrsonima_crassifolia_JX664036	Byrsonima_crassifolia_JX664036	1	0	0	3	0	NA	NA	0
Ceriops_tagal_KM255072	Ceriops_tagal_KM255072	1	0	0	0	0	NA	NA	0
Erythroxylum_novogranatense_MF973013	Erythroxylum_novogranatense_MF973013	0	0	0	0	0	NA	NA	NA
Garcinia_mangostana_MF405353	Garcinia_mangostana_MF405353	0	0	0	2	0	NA	NA	NA
Hydnocarpus_hainanensis_MH667433	Hydnocarpus_hainanensis_MH667433	1	0	0	0	0	NA	NA	NA
Hypericum_perforatum_ON684488	Hypericum_perforatum_ON684488	1	0	0	3	0	NA	NA	NA
Linum_usitatissimum_KU645802	Linum_usitatissimum_KU645802	0	0	0	1	0	NA	NA	0
Manihot_esculenta_MK430313	Manihot_esculenta_MK430313	1	0	0	2	0	NA	NA	0
Ochna_integerrima_KF263355	Ochna_integerrima_KF263355	1	0	0	3	0	NA	NA	NA
Passiflora_actinia_HQ900845	Passiflora_actinia_HQ900845	0	1	0	1	1	0	1	0
Passiflora_alata_DQ123348	Passiflora_alata_DQ123348	0	1	0	2	1	0	1	0
Passiflora_ambigua_DQ123349	Passiflora_ambigua_DQ123349	0	1	0	2	1	0	1	0
Passiflora_amethystina_KM652358	Passiflora_amethystina_KM652358	0	1	0	1	1	0	1	0
Passiflora_amethystina_KM652403	Passiflora_amethystina_KM652403	0	1	0	1	1	0	1	0
Passiflora_amoena_DQ123300	Passiflora_amoena_DQ123300	?	1	1	2	0	0	0	2
Passiflora_antioquiensis_DQ123342	Passiflora_antioquiensis_DQ123342	?	1	1	2	0	0	0	2
Passiflora_aurantia_KM895824	Passiflora_aurantia_KM895824	?	1	0	3	0	0	0	1
Passiflora_aurantioides_AB536553	Passiflora_aurantioides_AB536553	?	0	0	0	0	0	0	3
Passiflora_auriculata_HQ900847	Passiflora_auriculata_HQ900847	?	0	0	1	1	0	0	0
Passiflora_bahiensis_KM652371	Passiflora_bahiensis_KM652371	0	0	0	0	1	0	0	0
Passiflora_bicornis_JQ593085	Passiflora_bicornis_JQ593085	0	0	0	1	1	1	0	0
Passiflora_biflora_EU017122	Passiflora_biflora_EU017122	1	0	0	0	0	0	0	3
Passiflora_biflora_GU135279	Passiflora_biflora_GU135279	1	0	0	0	0	0	0	3
Passiflora_biflora_MZ478908	Passiflora_biflora_MZ478908	1	0	0	0	0	0	0	3
Passiflora_caerulea_DQ123350	Passiflora_caerulea_DQ123350	0	1	0	1	1	0	1	0
Passiflora_campanulata_HQ900849	Passiflora_campanulata_HQ900849	0	0	0	0	1	0	1	0
Passiflora_candida_DQ123302	Passiflora_candida_DQ123302	0	1	1	0	1	0	1	2
Passiflora_capparidifolia_HQ900850	Passiflora_capparidifolia_HQ900850	0	1	0	2	1	0	1	0
Passiflora_capsularis_HQ900851	Passiflora_capsularis_HQ900851	0	0	0	0	0	0	0	3
Passiflora_cerasina_HQ900852	Passiflora_cerasina_HQ900852	0	0	1	2	1	0	1	2
Passiflora_ceratocarpa_DQ123303	Passiflora_ceratocarpa_DQ123303	0	0	0	0	0	0	0	3
Passiflora_cerradensis_HQ900853	Passiflora_cerradensis_HQ900853	0	0	0	3	0	0	0	1
Passiflora_cerradensis_KM652362	Passiflora_cerradensis_KM652362	0	0	0	3	0	0	0	1
Passiflora_ciliata_JX664062	Passiflora_ciliata_JN664062	0	0	0	1	1	0	1	0
Passiflora_cincinnata_DQ123351	Passiflora_cincinnata_DQ123351	0	1	0	1	1	0	1	0
Passiflora_cincinnata_KM652368	Passiflora_cincinnata_KM652368	0	1	0	1	1	0	1	0
Passiflora_cirrhiflora_KU645800	Passiflora_cirrhiflora_KU645800	1	1	0	3	1	0	1	0
Passiflora_citrina_KM652380	Passiflora_citrina_KM652380	0	0	1	3	0	0	0	2
Passiflora_clathrata_DQ123336	Passiflora_clathrata_DQ123336	0	0	0	0	1	0	1	0
Passiflora_coccinea_HQ900854	Passiflora_coccinea_HQ900854	0	0	1	2	1	0	0	2
Passiflora_coriacea_DQ123313	Passiflora_coriacea_DQ123313	1	0	0	0	1	0	0	0
Passiflora_coriacea_KM652378	Passiflora_coriacea_KM652378	1	0	0	0	1	0	0	0
Passiflora_costaricensis_JQ593094	Passiflora_costaricensis_JQ593094	1	0	0	0	1	0	1	2
Passiflora_cupraea_DQ123378	Passiflora_cupraea_DQ123378	?	0	1	2	0	0	0	2
Passiflora_deidamioides_DQ445925	Passiflora_deidamioides_DQ445925	0	0	0	0	0	0	1	3
Passiflora_edmundoi_DQ123352	Passiflora_edmundoi_DQ123352	0	1	1	2	0	0	0	2
Passiflora_edmundoi_KM652387	Passiflora_edmundoi_KM652387	0	1	1	2	0	0	0	2
Passiflora_edulis_DQ123353	Passiflora_edulis_DQ123353	0	0	0	1	1	0	1	0
Passiflora_edulis_HQ900857	Passiflora_edulis_HQ900857	0	0	0	1	1	0	1	0
Passiflora_edulis_HQ900865	Passiflora_edulis_HQ900865	0	0	0	1	1	0	1	0
Passiflora_eichleriana_HQ900858	Passiflora_eichleriana_HQ900858	0	0	0	1	1	0	1	0
Passiflora_elegans_DQ123355	Passiflora_elegans_DQ123355	0	0	0	1	1	0	1	0
Passiflora_exura_DQ123356	Passiflora_exura_DQ123356	1	1	0	1	0	0	0	1
Passiflora_ferruginea_KM652377	Passiflora_ferruginea_KM652377	?	0	0	0	1	0	1	0
Passiflora_foetida_HQ900859	Passiflora_foetida_HQ900859	0	0	0	0	1	0	0	0
Passiflora_gabrielliana_DQ123357	Passiflora_gabrielliana_DQ123357	1	1	0	2	1	0	1	0
Passiflora_galbana_DQ123358	Passiflora_galbana_DQ123358	?	0	0	0	0	0	0	3
Passiflora_galbana_HQ900860	Passiflora_galbana_HQ900860	?	0	0	0	0	0	0	3
Passiflora_garckei_DQ123359	Passiflora_garckei_DQ123359	0	1	0	1	1	0	1	0
Passiflora_gardneri_HQ900861	Passiflora_gardneri_HQ900861	0	1	0	1	1	0	1	0
Passiflora_gardneri_KM652370	Passiflora_gardneri_KM652370	0	1	0	1	1	0	1	0
Passiflora_gibertii_DQ445922	Passiflora_gibertii_DQ445922	0	1	0	0	1	0	1	0
Passiflora_haematostigma_DQ123305	Passiflora_haematostigma_DQ123305	0	0	0	0	0	0	0	3
Passiflora_haematostigma_KM652399	Passiflora_haematostigma_KM652399	0	0	0	0	0	0	0	3
Passiflora_hatschbachii_HQ900863	Passiflora_hatschbachii_HQ900863	?	1	0	0	1	0	0	0
Passiflora_helleri_DQ123314	Passiflora_helleri_DQ123314	0	0	0	0	1	0	0	0
Passiflora_herbertiana_KM895950	Passiflora_herbertiana_KM895950	?	0	0	3	0	0	0	1
Passiflora_incarnata_GQ248664	Passiflora_incarnata_GQ248664	?	0	0	1	1	1	1	0
Passiflora_incarnata_HG765071	Passiflora_incarnata_HG765071	?	0	0	1	1	1	1	0
